"Datasets"	"Sum"
"Blattabacterium cuenoti BPAA"	179
"Blattabacterium sp."	40
"Blattabacterium sp. (Blaberus giganteus)"	193
"Blattabacterium sp. (Blatta orientalis) str. Tarazona"	129
"Blattabacterium sp. (Blattella germanica) str. Bge"	265
"Blattabacterium sp. (Cryptocercus kyebangensis)"	27
"Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu"	255
"Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR"	306
"Blattabacterium sp. (Nauphoeta cinerea)"	300
"Blattabacterium sp. (Periplaneta americana) str. BPLAN"	108
"Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus"	148
"Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri"	142
"blood disease bacterium R229"	598
"Bordetella ansorpii"	18
"Bordetella avium 197N"	11075
"Bordetella bronchiseptica 253"	3427
"Bordetella bronchiseptica MO149"	1552
"Bordetella bronchiseptica RB50"	752
"Bordetella hinzii"	76946
"Bordetella holmesii ATCC 51541"	21
"Bordetella holmesii F627"	12
"Bordetella holmesii H558"	6
"Bordetella parapertussis Bpp5"	10303
"Bordetella pertussis 18323"	52
"Bordetella pertussis B1917"	128
"Bordetella pertussis Tohama I"	20
"Bordetella petrii"	17028
"Bordetella pseudohinzii"	197
"Bordetella sp. N"	12953
"Bordetella trematum"	13495
"Bosea eneae 34614"	27
"Bosea lathyri"	5
"Bosea lupini"	17
"Bosea massiliensis 63287"	31
"Bosea minatitlanensis"	34
"Bosea robiniae"	5
"Bosea sp. 7F"	44
"Bosea sp. AC(2010)"	6
"Bosea sp. CRIB-07"	60
"Bosea sp. CRIB-13"	6
"Bosea sp. PAMC 26642"	11505
"Bosea sp. STM 358"	12
"Bosea thiooxidans"	39
"Bosea vestrisii 34635"	53
"Bowmanella denitrificans"	17
"Brachymonas denitrificans"	3657
"Brachymonas petroleovorans"	38
"Brachymonas sp. canine oral taxon 015"	965
"Brachymonas sp. feline oral taxon 073"	72
"Brachymonas sp. feline oral taxon 160"	6
"Bradymonas sediminis"	13
"Bradyrhizobiaceae bacterium SG-6C"	5
"Bradyrhizobium betae"	54
"Bradyrhizobium canariense"	33
"Bradyrhizobium cytisi"	5
"Bradyrhizobium daqingense"	107
"Bradyrhizobium denitrificans"	237
"Bradyrhizobium diazoefficiens SEMIA 5080"	65
"Bradyrhizobium diazoefficiens USDA 110"	33619
"Bradyrhizobium elkanii USDA 94"	11
"Bradyrhizobium embrapense"	155
"Bradyrhizobium genosp. SA-3"	6
"Bradyrhizobium genosp. TUXTLAS-13"	54
"Bradyrhizobium genosp. TUXTLAS-21"	5
"Bradyrhizobium genosp. VI"	17
"Bradyrhizobium iriomotense"	42
"Bradyrhizobium japonicum CCBAU 25435"	16
"Bradyrhizobium japonicum SEMIA 5079"	15793
"Bradyrhizobium japonicum USDA 6"	15619
"Bradyrhizobium jicamae"	59
"Bradyrhizobium kavangense"	6
"Bradyrhizobium lablabi"	72
"Bradyrhizobium liaoningense"	359
"Bradyrhizobium oligotrophicum S58"	20396
"Bradyrhizobium pachyrhizi"	58
"Bradyrhizobium paxllaeri"	21
"Bradyrhizobium retamae"	27
"Bradyrhizobium rifense"	6
"Bradyrhizobium sp."	110
"Bradyrhizobium sp. 05LoH6_16"	223
"Bradyrhizobium sp. 05LoS23R5_3"	9
"Bradyrhizobium sp. 09LoS36R4_30"	76
"Bradyrhizobium sp. 11LoS11_3"	14
"Bradyrhizobium sp. 11LoS12_21"	6
"Bradyrhizobium sp. 11LoS19_1"	21
"Bradyrhizobium sp. 11LoS33_4"	6
"Bradyrhizobium sp. 5111P"	6
"Bradyrhizobium sp. 5680G"	5
"Bradyrhizobium sp. AbruD2"	5
"Bradyrhizobium sp. ADU20"	6
"Bradyrhizobium sp. ADU7"	33
"Bradyrhizobium sp. ANU 289"	5
"Bradyrhizobium sp. ARR444"	14
"Bradyrhizobium sp. ARR456"	17
"Bradyrhizobium sp. ARR464"	54
"Bradyrhizobium sp. ARR469"	36
"Bradyrhizobium sp. ARR473"	6
"Bradyrhizobium sp. ARR487"	12
"Bradyrhizobium sp. ARR512"	35
"Bradyrhizobium sp. BR 10109"	41
"Bradyrhizobium sp. BR 3652"	5
"Bradyrhizobium sp. BR 3671"	7
"Bradyrhizobium sp. BTAi1"	20475
"Bradyrhizobium sp. CalaE8"	18
"Bradyrhizobium sp. CB564"	7
"Bradyrhizobium sp. CCBAU 03282"	10
"Bradyrhizobium sp. CCBAU 051157"	31
"Bradyrhizobium sp. CCBAU 05623"	7
"Bradyrhizobium sp. CCBAU 101060"	11
"Bradyrhizobium sp. CCBAU 101067"	16
"Bradyrhizobium sp. CCBAU 101074"	5
"Bradyrhizobium sp. CCBAU 15839"	18
"Bradyrhizobium sp. CCBAU 15868"	5
"Bradyrhizobium sp. CCBAU 21342"	11
"Bradyrhizobium sp. CCBAU 23230"	7
"Bradyrhizobium sp. CCBAU 25021"	7
"Bradyrhizobium sp. CCBAU 43298"	16
"Bradyrhizobium sp. CCBAU 45334"	31
"Bradyrhizobium sp. CCBAU 45502"	9
"Bradyrhizobium sp. CCBAU 75060"	19
"Bradyrhizobium sp. CCBAU 75236"	5
"Bradyrhizobium sp. CCBAU 85044"	10
"Bradyrhizobium sp. CCBAU 85057"	25
"Bradyrhizobium sp. CCBAU 85058"	5
"Bradyrhizobium sp. CCGE-LA001"	31753
"Bradyrhizobium sp. CH2437"	24
"Bradyrhizobium sp. cng8"	14
"Bradyrhizobium sp. CollC23"	44
"Bradyrhizobium sp. dbd20"	9
"Bradyrhizobium sp. EHJO8"	7
"Bradyrhizobium sp. gdr4"	17
"Bradyrhizobium sp. gdr5"	15
"Bradyrhizobium sp. GM"	20
"Bradyrhizobium sp. ICMP 12835"	23
"Bradyrhizobium sp. ICMP 14755"	47
"Bradyrhizobium sp. INPA01-91A"	17
"Bradyrhizobium sp. ISLU15"	6
"Bradyrhizobium sp. ISLU9"	6
"Bradyrhizobium sp. JNVU CP30"	6
"Bradyrhizobium sp. JNVU RA63"	13
"Bradyrhizobium sp. JZ2_10_nodule"	18
"Bradyrhizobium sp. KO23"	5
"Bradyrhizobium sp. La5-8"	12
"Bradyrhizobium sp. LAR-20"	23
"Bradyrhizobium sp. llw1"	45
"Bradyrhizobium sp. LMG 11955"	5
"Bradyrhizobium sp. LMG 15176"	5
"Bradyrhizobium sp. LMG 15245"	5
"Bradyrhizobium sp. LmjG3"	7
"Bradyrhizobium sp. LmjM1"	6
"Bradyrhizobium sp. LmjTA10"	14
"Bradyrhizobium sp. Lppb2"	7
"Bradyrhizobium sp. Lppb8"	6
"Bradyrhizobium sp. Ma9.4"	9
"Bradyrhizobium sp. MAFF 211645"	24
"Bradyrhizobium sp. mag1"	10
"Bradyrhizobium sp. MZ5"	10
"Bradyrhizobium sp. OHSU_III"	16
"Bradyrhizobium sp. ORS 278"	17542
"Bradyrhizobium sp. ORS 294"	5
"Bradyrhizobium sp. ORS 297"	20
"Bradyrhizobium sp. ORS 298"	13
"Bradyrhizobium sp. ORS 303"	6
"Bradyrhizobium sp. ORS 310"	5
"Bradyrhizobium sp. ORS 3257"	12
"Bradyrhizobium sp. ORS 327"	10
"Bradyrhizobium sp. ORS 354"	14
"Bradyrhizobium sp. ORS 358"	16
"Bradyrhizobium sp. ORS 361"	14
"Bradyrhizobium sp. ORS 375"	6
"Bradyrhizobium sp. ORS 377"	6
"Bradyrhizobium sp. pibl4"	19
"Bradyrhizobium sp. PIJ237 1/8"	7
"Bradyrhizobium sp. Pter37"	11
"Bradyrhizobium sp. R-46151=t187"	5
"Bradyrhizobium sp. rbc1"	11
"Bradyrhizobium sp. RD5-C2"	7
"Bradyrhizobium sp. RST88bis"	137
"Bradyrhizobium sp. RST89"	64
"Bradyrhizobium sp. S23321"	24690
"Bradyrhizobium sp. SEMIA 6014"	16
"Bradyrhizobium sp. SEMIA 6144"	5
"Bradyrhizobium sp. SEMIA 6156"	61
"Bradyrhizobium sp. SEMIA 696"	17
"Bradyrhizobium sp. Soph313_CPI-0246"	17
"Bradyrhizobium sp. SR43"	54
"Bradyrhizobium sp. STM 3059"	5
"Bradyrhizobium sp. STM 3570"	23
"Bradyrhizobium sp. STM 4515"	6
"Bradyrhizobium sp. STM 8076"	12
"Bradyrhizobium sp. STM 8090"	31
"Bradyrhizobium sp. STM 8097"	11
"Bradyrhizobium sp. SUT-PR48"	7
"Bradyrhizobium sp. SUTN7-2"	12
"Bradyrhizobium sp. TUTAHSA140"	14
"Bradyrhizobium sp. TUTAHSA27"	12
"Bradyrhizobium sp. TUTCG1.I"	6
"Bradyrhizobium sp. TUTCG4.I"	5
"Bradyrhizobium sp. TUTCK2.I"	6
"Bradyrhizobium sp. TUTCSA4A"	6
"Bradyrhizobium sp. TUTCSA4B"	22
"Bradyrhizobium sp. TUTLl8.20.5"	67
"Bradyrhizobium sp. TUTVSBEG"	20
"Bradyrhizobium sp. TUTVSBLS"	6
"Bradyrhizobium sp. TUTVSCRK"	43
"Bradyrhizobium sp. TUTVSRDK"	6
"Bradyrhizobium sp. TUTVSRDM"	13
"Bradyrhizobium sp. UFLA06-10"	5
"Bradyrhizobium sp. UFLA06-12"	129
"Bradyrhizobium sp. UFLA06-13"	22
"Bradyrhizobium sp. UFLA06-45"	37
"Bradyrhizobium sp. USDA 3266"	17
"Bradyrhizobium sp. USDA 3318"	14
"Bradyrhizobium sp. USDA 3364"	15
"Bradyrhizobium sp. USDA 3384"	20
"Bradyrhizobium sp. USDA 3473"	44
"Bradyrhizobium sp. USDA 3474"	74
"Bradyrhizobium sp. USDA 3510"	10
"Bradyrhizobium sp. USDA 3668"	65
"Bradyrhizobium sp. USDA 4377"	5
"Bradyrhizobium sp. WBAH6"	55
"Bradyrhizobium sp. WBOS16"	5
"Bradyrhizobium sp. WBOS7"	5
"Bradyrhizobium sp. WM9"	35
"Bradyrhizobium sp. WSM3988"	55
"Bradyrhizobium sp. WSM3995"	10
"Bradyrhizobium sp. Y2_3_nodule"	8
"Bradyrhizobium tropiciagri"	5
"Bradyrhizobium valentinum"	61
"Bradyrhizobium vignae"	60
"Bradyrhizobium viridifuturi"	15
"Bradyrhizobium yuanmingense"	206
"Brenneria alni"	18
"Brenneria nigrifluens"	105
"Brenneria roseae subsp. americana"	12
"Brenneria roseae subsp. roseae"	11
"Brenneria rubrifaciens"	13
"Brenneria salicis ATCC 15712 = DSM 30166"	6
"Breoghania corrubedonensis"	65
"Brevundimonas bacteroides"	31
"Brevundimonas bullata"	54
"Brevundimonas diminuta ATCC 11568"	74
"Brevundimonas intermedia"	7
"Brevundimonas sp. 35AGIII"	9
"Brevundimonas sp. DS20"	8229
"Brevundimonas sp. GN04-8b"	5
"Brevundimonas subvibrioides ATCC 15264"	8533
"Brevundimonas vesicularis"	13
"Brucella abortus 2308"	6
"Brucella abortus bv. 3"	552
"Brucella ceti"	63
"Brucella melitensis bv. 1 str. 16M"	37
"Brucella melitensis bv. 1 str. M5"	5
"Brucella melitensis NI"	12
"Brucella microti CCM 4915"	7
"Brucella pinnipedialis B2/94"	15
"Brucella suis 1330"	11
"Brucella suis ATCC 23445"	140
"BTEX-degrading bacterium enrichment culture"	5
"Buchnera aphidicola (Acyrthosiphon lactucae)"	5
"Buchnera aphidicola (Anoecia fulviabdominalis)"	6
"Buchnera aphidicola (Aphis glycines)"	200
"Buchnera aphidicola (Aphis gossypii)"	33
"Buchnera aphidicola (Aphis nerii)"	5
"Buchnera aphidicola (Brevicoryne brassicae)"	11
"Buchnera aphidicola (Capitophorus hudsonicus)"	6
"Buchnera aphidicola (Cinara pergandei)"	66
"Buchnera aphidicola (Cinara tujafilina)"	168
"Buchnera aphidicola (Diuraphis noxia)"	7
"Buchnera aphidicola (Drepanaphis sp.)"	68
"Buchnera aphidicola (Eriosoma lanuginosum)"	12
"Buchnera aphidicola (Euceraphis gillettei)"	6
"Buchnera aphidicola (Eulachnus pinitabulaeformis)"	16
"Buchnera aphidicola (Eutrichosiphum sinense)"	5
"Buchnera aphidicola (Geoica urticularia)"	35
"Buchnera aphidicola (Greenideinae sp.)"	45
"Buchnera aphidicola (Hyadaphis tataricae)"	5
"Buchnera aphidicola (Lachnus roboris)"	58
"Buchnera aphidicola (Melaphis rhois)"	31
"Buchnera aphidicola (Mollitrichosiphum nigrofasciatum)"	52
"Buchnera aphidicola (Myzus persicae)"	319
"Buchnera aphidicola (Panaphis juglandis)"	5
"Buchnera aphidicola (Pemphigus spyrothecae)"	66
"Buchnera aphidicola (Pentalonia nigronervosa)"	81
"Buchnera aphidicola (Periphyllus diacerivorus)"	5
"Buchnera aphidicola (Phyllaphis grandifoliae)"	17
"Buchnera aphidicola (Pterocomma populeum)"	199
"Buchnera aphidicola (Pterocomma salicis)"	42
"Buchnera aphidicola (Sarucallis kahawaluokalani)"	39
"Buchnera aphidicola (Schlechtendalia chinensis)"	17
"Buchnera aphidicola (Staticobium latifoliae)"	30
"Buchnera aphidicola (Takecallis arundicolens)"	20
"Buchnera aphidicola (Tetraneura caerulescens)"	17
"Buchnera aphidicola (Tetraneura sorini)"	43
"Buchnera aphidicola (Thelaxes suberi)"	85
"Buchnera aphidicola (Tuberolachnus salignus)"	42
"Buchnera aphidicola BCc"	1289
"Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)"	152
"Buchnera aphidicola str. APS (Acyrthosiphon pisum)"	13
"Buchnera aphidicola str. Bp (Baizongia pistaciae)"	195
"Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)"	9
"Buchnera aphidicola str. Sg (Schizaphis graminum)"	215
"Buchnera aphidicola str. Ua (Uroleucon ambrosiae)"	220
"Budvicia diplopodorum"	6
"Burkholderia ambifaria AMMD"	2143
"Burkholderia ambifaria MC40-6"	2428
"Burkholderia anthina"	5
"Burkholderia arboris"	87
"Burkholderia cenocepacia AU 1054"	30
"Burkholderia cenocepacia H111"	361
"Burkholderia cenocepacia HI2424"	62
"Burkholderia cenocepacia J2315"	6410
"Burkholderia cenocepacia MC0-3"	1525
"Burkholderia cepacia ATCC 25416"	2821
"Burkholderia cepacia GG4"	2451
"Burkholderia cepacia JBK9"	2439
"Burkholderia contaminans"	2230
"Burkholderia diffusa"	5
"Burkholderia dolosa AU0158"	43
"Burkholderia gladioli BSR3"	13558
"Burkholderia gladioli pv. alliicola"	128
"Burkholderia glumae BGR1"	196
"Burkholderia glumae LMG 2196 = ATCC 33617"	254
"Burkholderia glumae PG1"	1177
"Burkholderia lata"	2230
"Burkholderia latens"	30
"Burkholderia mallei ATCC 23344"	20
"Burkholderia multivorans ATCC 17616"	4392
"Burkholderia multivorans ATCC BAA-247"	3272
"Burkholderia oklahomensis C6786"	4616
"Burkholderia plantarii"	1367
"Burkholderia pseudomallei 1026b"	19
"Burkholderia pseudomallei 406e"	21
"Burkholderia pseudomallei 576"	35
"Burkholderia pseudomallei 668"	175
"Burkholderia pseudomallei 7894"	39
"Burkholderia pseudomallei B03"	5
"Burkholderia pseudomallei BPC006"	146
"Burkholderia pseudomallei HBPUB10134a"	12
"Burkholderia pseudomallei HBPUB10303a"	73
"Burkholderia pseudomallei K42"	63
"Burkholderia pseudomallei K96243"	5
"Burkholderia pseudomallei MSHR1153"	568
"Burkholderia pseudomallei MSHR2543"	41
"Burkholderia pseudomallei MSHR346"	157
"Burkholderia pseudomallei MSHR3965"	17
"Burkholderia pseudomallei MSHR491"	36
"Burkholderia pseudomallei MSHR62"	7
"Burkholderia pseudomallei MSHR840"	41
"Burkholderia pseudomallei NAU35A-3"	21
"Burkholderia pseudomallei NCTC 13178"	162
"Burkholderia pseudomallei NCTC 13179"	86
"Burkholderia pseudomallei Pasteur 52237"	46
"Burkholderia pseudomallei PB08298010"	20
"Burkholderia pseudomallei TSV 48"	198
"Burkholderia pyrrocinia"	2520
"Burkholderia rinojensis"	108
"Burkholderia seminalis DSM 23518"	27
"Burkholderia sp."	16
"Burkholderia sp. 1Sm25"	13
"Burkholderia sp. 2002721687"	11
"Burkholderia sp. 4682(2011)"	15
"Burkholderia sp. 5SM2-12"	5
"Burkholderia sp. B6994"	14
"Burkholderia sp. BCEP04"	5
"Burkholderia sp. BL1-R1"	10
"Burkholderia sp. BL21-ind4-R1"	9
"Burkholderia sp. BL301"	10
"Burkholderia sp. BL624"	6
"Burkholderia sp. Bp5365"	26
"Burkholderia sp. BR-2004143571"	54
"Burkholderia sp. BR-2009044596"	5
"Burkholderia sp. BRUESC274"	20
"Burkholderia sp. CACua-06"	13
"Burkholderia sp. CATux-37"	5
"Burkholderia sp. CCGE1001"	1635
"Burkholderia sp. CCGE1002"	5972
"Burkholderia sp. CCGE1003"	4592
"Burkholderia sp. CIP 104848"	9
"Burkholderia sp. HB1"	4273
"Burkholderia sp. HKI 404"	19
"Burkholderia sp. ICD"	23
"Burkholderia sp. JNR106"	6
"Burkholderia sp. JPY384"	66
"Burkholderia sp. KBC-1"	49
"Burkholderia sp. KJ006"	573
"Burkholderia sp. LLH-Slr-6"	392
"Burkholderia sp. M701"	50
"Burkholderia sp. MM5384"	5
"Burkholderia sp. MM6502B-R2"	13
"Burkholderia sp. mpa3.1"	58
"Burkholderia sp. mpa3.2"	294
"Burkholderia sp. mpa8.6"	42
"Burkholderia sp. OD28-R2"	13
"Burkholderia sp. PAMC 26561"	1936
"Burkholderia sp. PAMC 28687"	1457
"Burkholderia sp. PCE4"	5
"Burkholderia sp. PS7"	6
"Burkholderia sp. R15821"	12
"Burkholderia sp. RPE64"	6033
"Burkholderia sp. RPE67"	2963
"Burkholderia sp. SD1390"	6
"Burkholderia sp. SD1497"	7
"Burkholderia sp. SD1705"	5
"Burkholderia sp. SD2218"	5
"Burkholderia sp. SD2776"	5
"Burkholderia sp. SD3111B"	5
"Burkholderia sp. T48"	6
"Burkholderia sp. WSM2230"	22
"Burkholderia sp. WSM2232"	71
"Burkholderia sp. WSM4176"	8
"Burkholderia sp. YI23"	3077
"Burkholderia stabilis"	13
"Burkholderia thailandensis 34"	312
"Burkholderia thailandensis E254"	11
"Burkholderia thailandensis E264"	77
"Burkholderia thailandensis E444"	29
"Burkholderia thailandensis H0587"	225
"Burkholderia thailandensis MSMB121"	631
"Burkholderia thailandensis MSMB59"	259
"Burkholderia thailandensis USAMRU Malaysia #20"	24
"Burkholderia ubonensis MSMB22"	8069
"Burkholderia vietnamiensis G4"	1255
"Burkholderia vietnamiensis LMG 10929"	542
"Burkholderiales bacterium GJ-E10"	25026
"Burkholderiales bacterium MUL2G11"	5
"Caballeronia choica"	5
"Caballeronia glathei"	14
"Caballeronia grimmiae"	37
"Caballeronia sordidicola"	6
"Caballeronia zhejiangensis"	5
"Caedibacter caryophilus"	106
"Caenimonas sp. SL110"	68
"Caldimonas manganoxidans"	5
"Caldisericum exile AZM16c01"	477
"Calditerrivibrio nitroreducens DSM 19672"	978
"Campylobacter avium"	35
"Campylobacter canadensis"	50
"Campylobacter coli 15-537360"	101
"Campylobacter coli 76339"	1514
"Campylobacter coli CVM N29710"	326
"Campylobacter coli RM1051"	41
"Campylobacter coli RM1875"	420
"Campylobacter coli RM4661"	334
"Campylobacter coli RM5611"	3828
"Campylobacter concisus 13826"	128024
"Campylobacter concisus ATCC 51561"	7
"Campylobacter concisus ATCC 51562"	195
"Campylobacter cuniculorum"	41
"Campylobacter curvus 525.92"	129918
"Campylobacter fetus subsp. fetus 04/554"	105
"Campylobacter fetus subsp. testudinum 03-427"	250
"Campylobacter fetus subsp. testudinum Sp3"	174
"Campylobacter fetus subsp. venerealis 97/608"	14
"Campylobacter fetus subsp. venerealis cfvi03/293"	77
"Campylobacter fetus subsp. venerealis str. 84-112"	38
"Campylobacter gracilis"	2333772
"Campylobacter helveticus"	40
"Campylobacter hominis ATCC BAA-381"	9049
"Campylobacter hyointestinalis subsp. hyointestinalis"	7
"Campylobacter hyointestinalis subsp. lawsonii CCUG 27631"	7
"Campylobacter iguaniorum"	5145
"Campylobacter insulaenigrae NCTC 12927"	1513
"Campylobacter jejuni 32488"	54
"Campylobacter jejuni 4031"	29
"Campylobacter jejuni RM1221"	608
"Campylobacter jejuni subsp. doylei 269.97"	15736
"Campylobacter jejuni subsp. jejuni 81-176"	572
"Campylobacter jejuni subsp. jejuni 81116"	102
"Campylobacter jejuni subsp. jejuni ATCC 33560"	174
"Campylobacter jejuni subsp. jejuni CG8421"	13562
"Campylobacter jejuni subsp. jejuni F38011"	102
"Campylobacter jejuni subsp. jejuni IA3902"	54
"Campylobacter jejuni subsp. jejuni ICDCCJ07001"	249
"Campylobacter jejuni subsp. jejuni M1"	801
"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819"	12
"Campylobacter jejuni subsp. jejuni NW"	26
"Campylobacter jejuni subsp. jejuni PT14"	46
"Campylobacter jejuni subsp. jejuni R14"	111
"Campylobacter jejuni subsp. jejuni S3"	12
"Campylobacter lanienae NCTC 13004"	12
"Campylobacter lari CCUG 22395"	241
"Campylobacter lari NCTC 11845"	682
"Campylobacter lari RM16701"	290
"Campylobacter lari RM16712"	2714
"Campylobacter lari RM2100"	1308
"Campylobacter lari subsp. concheus LMG 11760"	650
"Campylobacter lari subsp. lari"	794
"Campylobacter mucosalis CCUG 21559"	36
"Campylobacter peloridis LMG 23910"	1671
"Campylobacter rectus"	38850
"Campylobacter showae"	23275
"Campylobacter sp. canine oral taxon 011"	6
"Campylobacter sp. FOBRC14"	9
"Campylobacter sp. oral clone OH5A"	7
"Campylobacter sp. oral taxon G43"	9
"Campylobacter sp. RM16704"	1340
"Campylobacter sputorum biovar paraureolyticus"	14
"Campylobacter sputorum biovar sputorum"	50
"Campylobacter subantarcticus LMG 24374"	443
"Campylobacter subantarcticus LMG 24377"	338
"Campylobacter troglodytis"	161
"Campylobacter upsaliensis RM3195"	214
"Campylobacter upsaliensis RM3940"	43
"Campylobacter ureolyticus ACS-301-V-Sch3b"	9
"Campylobacter ureolyticus DSM 20703"	200
"Campylobacter ureolyticus RIGS 9880"	2706
"Campylobacter volucris LMG 24379"	11992
"Candidatus Accumulibacter phosphatis clade IIA str. UW-1"	21598
"Candidatus Amoebophilus asiaticus 5a2"	1072
"Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2"	3188
"Candidatus Babela massiliensis"	602
"Candidatus Bartonella rudakovii"	22
"Candidatus Benitsuchiphilus tojoi"	8
"Candidatus Blochmannia chromaiodes str. 640"	15
"Candidatus Blochmannia floridanus"	1333
"Candidatus Blochmannia pennsylvanicus str. BPEN"	243
"Candidatus Blochmannia sayi"	7
"Candidatus Blochmannia vafer str. BVAF"	118
"Candidatus Caedibacter acanthamoebae"	514
"Candidatus Carsonella ruddii CE isolate Thao2000"	44
"Candidatus Carsonella ruddii CS isolate Thao2000"	311
"Candidatus Carsonella ruddii DC"	55
"Candidatus Carsonella ruddii HC isolate Thao2000"	91
"Candidatus Carsonella ruddii HT isolate Thao2000"	33
"Candidatus Carsonella ruddii PV"	47
"Candidatus Cloacimonas acidaminovorans str. Evry"	893
"Candidatus Curculioniphilus buchneri endosymbiont of Curculio glandium"	30
"Candidatus Curculioniphilus endosymbiont of Curculio camelliae"	30
"Candidatus Curculioniphilus endosymbiont of Curculio robustus"	9
"Candidatus Curculioniphilus endosymbiont of Curculio sikkimensis"	28
"Candidatus Ehrlichia extremiorentalis"	18
"Candidatus Ehrlichia shimanensis"	5
"Candidatus Endolissoclinum faulkneri L2"	369
"Candidatus Endolissoclinum faulkneri L5"	182
"Candidatus Erwinia dacicola"	17
"Candidatus Evansia muelleri"	341
"Candidatus Filomicrobium marinum"	1688
"Candidatus Glomeribacter gigasporarum BEG34"	105
"Candidatus Gullanella endobia"	193
"Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)"	346
"Candidatus Hodgkinia cicadicola Dsem"	160
"Candidatus Ishikawaella capsulata Mpkobe"	195
"Candidatus Kinetoplastibacterium crithidii TCC036E"	14
"Candidatus Kinetoplastibacterium desouzaii TCC079E"	574
"Candidatus Kinetoplastibacterium galatii TCC219"	293
"Candidatus Kinetoplastibacterium oncopeltii TCC290E"	350
"Candidatus Kleidoceria schneideri"	22
"Candidatus Koribacter versatilis Ellin345"	12103
"Candidatus Legionella jeonii"	25
"Candidatus Liberibacter africanus PTSAPSY"	163
"Candidatus Liberibacter americanus str. Sao Paulo"	143
"Candidatus Liberibacter asiaticus str. gxpsy"	26
"Candidatus Liberibacter solanacearum CLso-ZC1"	229
"Candidatus Liberibacter sp. Graden-City-KS-5"	97
"Candidatus Liberibacter sp. Sao_Paulo-2"	66
"Candidatus Magnetobacterium bavaricum"	70
"Candidatus Methylopumilus planktonicus"	977
"Candidatus Methylopumilus turicensis"	1903
"Candidatus Midichloria mitochondrii IricVA"	384
"Candidatus Moranella endobia PCIT"	348
"Candidatus Nasuia deltocephalinicola str. NAS-ALF"	21
"Candidatus Neoehrlichia mikurensis"	28
"Candidatus Nicolleia massiliensis"	76
"Candidatus Nitrospira bockiana"	146
"Candidatus Nitrospira inopinata"	6037
"Candidatus Nucleicultrix amoebiphila"	154
"Candidatus Odyssella thessalonicensis L13"	67
"Candidatus Paenicardinium endonii"	5
"Candidatus Pantoea carbekii"	611
"Candidatus Paraburkholderia schumannianae"	6
"Candidatus Paracaedibacter acanthamoebae"	502
"Candidatus Pelagibacter sp. AAA795-A08"	8
"Candidatus Pelagibacter sp. AAA795-B16"	56
"Candidatus Pelagibacter sp. AAA795-E22"	6
"Candidatus Pelagibacter sp. AAA795-N17"	372
"Candidatus Pelagibacter sp. IMCC9063"	14018
"Candidatus Pelagibacter ubique HTCC1002"	193
"Candidatus Pelagibacter ubique HTCC1016"	20
